English sentence,Swahili Translation
We were granted the privilege of fishing in this bay.,Tulipewa pendeleo la uvuvi katika ziwa hili.
Our total debts amount to ten thousand dollars.,Jumla ya deni letu ni dola elfu kumi.
Our ultimate goal is to establish world peace.,Kusudi letu la mwisho ni kuanzisha amani ulimwenguni.
This new product of ours is a serious blow to our rival company.,Bidhaa hii mpya yetu ni pigo kubwa kwa kampuni yetu pinzani.
"In case the shipment is delayed, we have special delay insurance.","Ikiwa usafirishaji umechelewa, tuna bima maalumu ya kucheleweshwa."
The plan announced Tuesday calls for $54 billion in tax cuts.,Mpango uliotangazwa Jumanne inatoa wito wa dola bilioni 54 kwa kupunguzwa kwa ushuru.
Would you like some fruit?,Ungependa matunda?
Technology has failed to ease the conflict between man and nature.,Teknolojia imeshindwa kupunguza mzozo kati ya mwanadamu na maumbile.
Science is based on careful observation.,Sayansi inategemea uchunguzi wa makini.
We're goin' home.,Tunaenda nyumbani.
I delighted in going to his farm during the summer vacation.,Nilifurahi kwenda shambani mwake wakati wa likizo ya kiangazi.
"In summer, eggs soon go bad.",Wakati wa kiangazi mayai huharibika haraka.
May I help you ma'am?,Naweza kukusaidia ma'am?
"Because the store is so small, he has to wear many different hats, from accountant to stock boy.","Kwa sababu duka ni ndogo sana, lazima afanye kazi nyingi tofauti, kutoka kwa mhasibu hadi kijana wa kukagua bidhaa."
I want something with which to write.,Nataka kitu cha kuandikia.
I'm just a boy who makes mistakes.,Mimi ni mvulana tu anayefanya makosa.
My papa said no.,Baba yangu alisema hapana.
The prince was turned by magic into a frog.,Mfalme aligeuzwa na uchawi kuwa chura.
The king was famous for his splendid palace.,Mfalme alikuwa maarufu kwa sababu ya kasri lake kuu.
The royal palace was built on a hill.,Kasri la kifalme lilijengwa juu ya kilima.
"May I take your size, madam?","Naweza chukua kipimo chako, Mama?"
"After his wife left him, Harold went nuts.","Baada ya mkewe kuachana naye, Harold alichanganyikiwa."
"Instead of beating around the bush, Jones got straight to the point.","Badala kuzunguka, Jones alieleza moja kwa moja."
The sky had become threatening before I got to the station.,Anga ilikuwa ikitishia kabla sijafika kituo.
"Unlike Great Britain, the Upper House in the United States is an elected body.","Tofauti na Uingereza, Bunge la Juu huko Amerika ni taasisi iliyochaguliwa."
English isn't easy to master.,Kiingereza sio rahisi kuelewa.
I like English best.,Napendelea Kiingereza.
"I would have liked to see the ending of the film, but I had to leave the theater.","Ningependa kuona mwisho wa filamu, lakini ilibidi nitoke nje ya thieta."
Lack of exercise may harm your health.,Kukosa mazoezi kunaweza kudhuru afya yako.
There is no limit to the universe.,Ulimwengu ni mkubwa hauna mpaka.
I drank too much and the ground seemed to spin under my feet.,Nilikunywa sana na ardhi ilionekana kuteleza chini ya miguu yangu.
A festival is held at the rice harvest.,Sherehe hufanyika wakati wa mazao ya mchele.
"A single step, and you will fall over the cliff.","Hatua moja, na utaanguka juu ya mwamba."
Where's the nearest department store?,Duka la karibu zaidi liko wapi?
"Generally speaking, Japanese women are modest.",Kwa ujumla wanawaje wa kijapani sana kiasi.
No sooner had we finished working on one tough problem than the president sent us yet another straight from the top.,Mara tu tunapokamilisha kushughulikia shida moja ngumu ndivyo rais alitutumia nyingine kutoka juu.
Please return one set to us with your signature.,Tafadhali rudisha seti moja kwetu na saini yako.
"He said to me, 'Study hard, or you won't pass the test.'","Aliniambia, 'Soma kwa bidii, au hutapita hiyo mthiani.'"
"If you don't study hard, you'll continue to get poor scores.","Usiposoma kwa bidii, utaendelea kupata alama duni."
"One murder makes a villain, millions a hero.","Mauaji mamoja yanafanya mtu katili, mengi yanamfanya shujaa."
"Instead of going myself, I sent a messenger.","Badala ya kwenda mwenyewe, nilituma mjumbe."
The amount of paper produced by a country is closely related to its cultural standards.,Kiasi cha karatasi inayozalishwa na nchi inahusiana sana na viwango vyao vya kitamaduni.
I went to the South Pacific for a summer of romantic adventure.,Nilikwenda Kusini mwa Pasifiki kuvinjari kimahaba wakati wa majira ya joto.
Medical science has made a dramatic advance.,Sayansi ya matibabu imepiga hatua kubwa.
It is hard for an empty sack to stand straight.,Ni vigumu kwa gunia tupu kusimama wima.
The stomach is one of the internal organs.,Tumbo ni moja wapo ya viungo vya ndani.
The data to be discussed below was collected in the following way.,Takwimu za kuzungumziwa hapo chini zilikusanywa kwa njia ifuatayo.
"The smaller the body, the more likely the person will suffer from the ill effects of radiation.","Mwili ukiwa mdogo, kuna uwezekano kuwa mtu ataumia kwa athari za mnunurisho."
Greetings are the basis of good manners.,Salamu ni msingi wa tabia nzuri.
It is not until we lose our health that we recognise its blessing.,Sio hadi tupoteze afya zetu ndio tutambue baraka zake.
We were sweating in the heat.,Tulikuwa tukitokwa jasho kwa joto.
I am not the Christ but I am sent ahead of him.,"Mimi si Kristo, bali nimetumwa ili nimtangulie."
We elected Jeffrey captain of our team.,Tulimchagua Jeffrey kama Kapteni wa kikosi chetu.
Crime is certainly on the increase in many of our big cities.,Uhalifu unazidi kuongezeka katika miji yetu mingi.
"In the London underground there is a warning to ""mind the gap"" when boarding the train.","Chini ya ardhi kuna tahadhari inayosema ""kuwa maakini na uwazi"" unapopanda treni."
"In London, the police are always worried about finding a bomb on the train or subway.","Mjini London, polisi sikuzote huhofia kukuta bomu kwenye treni au kituo chaa chini ya barabara."
"On his arrival in London, he sent me a telegram.","Aliipowasili London, alinitumia telegramu."
"During his stay in London, he is going to visit his cousin.","Wakati akiwa London, ataenda kumtembelea binamu yake."
"It is Mrs. Lee, Susan's mother, in London.","Ni Bibi Lee, mama ya Susan, Uingereza."
Robert is the fifth wheel on the safety committee.,Robert ndiye gurudumu la tano kwenye kamati ya usalama.
Los Angeles is the second largest city in the United States.,Los Angeles ndio mji wa pili mkubwa nchini Amerika.
Lola danced with grace.,Lola alicheza dansi kwa madaha.
"The surprise party for Laura is not tonight, but tomorrow night.","Sherehe ya mshtuko kwa Laura sio usiku wa leo, lakini kesho usiku."
Roy looks happy when his girlfriend calls him.,Roy anaonekana kufurahi wakati rafiki yake wa kike anamwita.
"Can you take his place, Leo?","Je, unaweza kuchukua nafasi yake, leo?"
The horse that won the race was owned by Mr Johnson.,Farasi walioshinda mbio hizo wabamilikiwa na Bw Johnson.
The rangers decided to go to the sailor's rescue.,Askari waliamua kwenda kumuokoa mbaharia.
The bike ride told on Louie.,Mwendesha baiskeli alimsema Louie.
The other girls are jealous of Lily because she is extremely pretty.,Wasichana wengine wana wivu na Lily kwa sababu ni mrembo sana.
"Meanwhile, the foolish uncle was sitting in the living room.","Wakati huo, mjomba mjinga alikuwa amekaa sebuleni."
"Richard said his mother was ill, which is a lie.","Richard alisema mama yake ni mgonjwa, ambapo ni uongo."
Liz has been dead for eight years.,Liz aliaga miaka nane iliyopita.
The lion is the king of the jungle.,Simba ndiye mfalme wa msitu.
Europe is now reported to be entirely free of new cases of this disease.,Uropa sasa imeripotiwa kuwa haina kisa kipya cha ugonjwa huu.
"Yo, my man!","Yo, mtu wangu!"
Hence 50 percent of the muscle can give way to fat.,Kwa hivyo asilimia 50 ya misuli inaweza kutoa mafuta.
"By and by, the bitter north wind began to blow.",Taratibu upepo mkali wa kaskazini ulianza kuvuma.
Molly has a large clock.,Molly ana saa kubwa.
Of course I remember the news quite well.,Ni vyema nakumbuka taarifa vizuri sana.
I'll be deeply affected by his death.,Nitaathiriwa sana na kifo chake.
"Hello, is this the personnel department?","Hujambo, hii ndiyo idara ya wafanyakazi?"
I barely escaped being hit by the truck.,Nili epuka kunipigwa na lori.
I don't have enough RAM.,Sina RAM za kutosha.
Meg is curious to know everything about Japan.,Meg ana shauku ya kujua kila kitu kuhusu Japan.
The maid came in bearing a cake.,Mjakazi aliingia akibeba keki.
"In many parts of the world, there is not enough food to meet everyone's needs.","Katika sehemu nyingi za ulimwengu, hakuna chakula cha kutosha kukidhi mahitaji ya kila mtu."
It seems as if everything he touches turns to gold.,Ni kana kwamba kila kitu anachogusa kinageuka na kuwa dhahabu
It's just like walking on the moon.,Ni kama kutembea kwenye mwezi.
Mummy and Daddy are very nervous.,Mama na baba wana wasiwasi.
"Fires are less frightening today than they once were, because more and more houses are built of concrete, and concrete houses do not burn as easily as the old wooden ones.","Moto haitishi sana leo kuliko zamani, kwa sababu nyumba zaidi na zaidi zinajengwa kwa simiti, na nyumba za simiti hazichomwi kwa urahisi kama zile za zamani za mbao."
More and more doctors have begun to use the new medicine.,Wengi wa madaktari wameanza kutumia mashine mpya.
Mountain bike racing has caught on with young Japanese in the past few years.,Mashindano ya baiskeli ya mlima yamependwa na vijana wa Kijapani katika miaka michache iliyopita.
"Mr White said that because of the convention, there were no rooms available.","Bwana White alisema kwamba, kwa sababu ya mkusanyiko, kulikuwa na ukosefu wa vyumba."
Bob told Jane not to interfere in his personal affairs.,Bob alimwambia Jane asiingilie katika mambo yake ya kibinafsi.
Boxing is not always a rough sport.,Ndondi sio mchezo mbaya kila wakati.
The ball rolled on the ground towards me.,Mpira ulibingirika kuelekea kwangu.
The ball rolled across the lawn.,Mpira ulibiringika kwenye nyasi.
Paula and I cooked dinner on Sunday.,Mimi na Paula tulipika chakula cha jioni Jumapili.
I blew my whole bonus on shopping and travel.,Nilipata bonasi yangu yote ya kwenye ununuzi na kusafiri.
A new team was formed in order to take part in the boat race.,Timu mpya iliundwa ili kushiriki katika mbio za mashua.
Mr Hawk is a kind gentleman.,Bwana Hawk ni muungwana na mkarimu.
Can I borrow your pen?,Naweza kuazima kalamu yako.
Benjamin shot a bear with a rifle.,Benjamin alipiga dubu na bunduki.
The bell rang. The teacher told the students to hand in the papers.,Kengele ililia. Mwalimu aliwaambia wanafunzi kumpa karatasi.
Perry decided to gain information from Drake.,Perry aliamua kupata taarifa kwa Drake.
Betty has a sweet voice.,Betty ana sauti tamu.
The total at the bottom of the page is carried forward.,Jumla iliyochini ya ukurasa hupelekwa mbele.
"Fred, behave, and I'm not joking, either.","Fred, kuwa na tabia nzuri, sina mzaha."
Could you gift wrap it?,Unaweza kufungua kama zawadi?
It seems that Mr Brooke is an honest man.,inaokena kwamba Bwana Brooke ni mtu mnyoofu.
I like my brandy straight.,Naipenda sana konjak yangu
I would appreciate it if I had the opportunity to meet with Mr Brown again during his stay in Chicago.,Ningefurahi ikiwa ningepata fursa ya kukutana na Bw Brown tena wakati wa kukaa kwake huko Chicago.
You should have Mr Brown correct your speech before the presentation.,Inafaa Bwana Brown asahihishe hotuba yako kabla ya mawasilisho.
Mr Brown is jealous of his colleague's success.,Bwana Brown ana wivu kuhusu mafanikio ya mwenzake.
Mr Brown was acting in the capacity of ambassador.,Bwana Brown alikuwa kaimu wa Balozi.
We were all surprised at the appointment of Mr Brown as director.,Sote tulishangazwa na kuajiriwa kwa Bwana Brown kama mkurugenzi.
Brian regrets starting a relationship with her and wants to escape from her.,Brian anajuta kuanza uhusiano na yeye na anataka kumtoroka.
The proof of the pudding is in the eating.,Thamani halisi ya kitu inaweza kuamuliwa tu kutoka kwa uzoefu au matokeo ya vitendo na sio kutoka kwa kuonekana au nadharia.
Mr Ford owns this land.,Bwana Ford anamiliki ardhi hii.
Why did Bill tear the letter into pieces?,Mbona Bill alirarua barua iwe vijikaratasi?
Bill replaced Jim as captain.,Bill alibadilishana na Jim kama nahodha.
Hitler assumed power in 1933.,Hitler alitwa madaraka mnamo 1933.
It is pleasant to shave off my beard.,Inafurahisha kunyoa ndevu zangu.
Who is the boy acting the part of Peter Pan?,Mvulana yupi anayeigiza sehemu ya Peter Pan?
Mr Hunt is principal of our school.,Bwana Hunt ni mkuu wa shule yetu.
A ballet theater is a place in which I can study motion.,Ukumnbi wa ballet ni mahali ambapo ninaweza kusoma mwendo.
I saw a flash of lightning far in the distance.,Niliona mwangaza wa umeme ukiwa mbali.
"If only I'd sold that property during the economic bubble, I wouldn't have suffered such a big loss.","Laiti ningekuwa nimeuza mali hiyo wakati uchumi ulipokuwa mzuri, nisingepata hasara kubwa kama hii."
So this is Lady Evans.,Basi Huyu ni Bi Evans.
Kick with your legs straight to go forward.,Piga kwa miguu yako iliyonyooka uwe kusonga mbele.
Please remain seated until the bus stops completely.,Tafadhali keti hadi basi lisimame kabisa.
Blow out all the candles on the birthday cake at once.,Zima mishumaa yote kwenye keki ya kuzaliwa mara moja.
Nora looks up to her mother.,Nora anamchukua mamake kama mfano bora.
A rat ran across the road.,Panya alikimbia kuvuka barabara.
Put the cap back on the bottle in case the cat knocks it over.,Funga chupa endapo Paka itaigonga ianguke chini.
Nick is by no means satisfied with the reward.,Nick kwa namna yoyote ile hajafurahia zawadi.
Nicole can speak Japanese very well.,Nicole anaweza kuongea Kijapani vizuri.
I feel sort of dizzy and I feel like throwing up.,Ninahisi kizunguzungu na nahisi kama nataka kuanguka.
Why do American parents praise their children?,Mbona wazazi wa Marekani wanasifu watoto wao?
Dorothy isn't in the office.,Dorothy hayuko ofisini.
You can pick out any book you like.,Unaweza kuchukua kitabu chochote unachopenda.
Tracy lost her glasses.,Tracy alipoteza miwani yake.
A bear is a friendly beast compared to a tiger.,Dubu ni mnyama mwenye urafiki akilinganishwa na twiga.
We made up our mind to come in any case.,Tuliamua kuja kwa njia yoyote.
Sales have dropped off at every big department store.,Uuzaji umepungua katika duka kubwa la idara.
Nobody knows exactly how many races make up the population of the United States.,Hakuna mtu anajua barabara ni jamii ngapi hufanya idadi ya watu nchini Marekani.
I don't know which dress to choose; it's a toss up between the red one and the green one.,Sijui mavazi ya kuchagua; ni uchaguzi kati ya nyekundu na ile ya kijani.
Which plan do you believe is better?,"Ni mpango upi unaamini ni bora? """
How can I pick out fresh fish?,Ninawezaje kuchagua samaki freshi?
"Tell me about yourself, please, Sir Anthony.","Niambie juu yako mwenyewe, tafadhali, Mheshimiwa Anthony."
I can't recall the exact words.,Siwezi kukumbuka maneno halisi.
"Therefore, a center for the development of human resources should be built in Japan.","Kwa hivyo, kituo cha maendeleo ya rasilimali watu inapaswa kujengwa huko Japan."
"The door remaining locked up from inside, he could not enter the house.","Mlango uliobaki umefungwa kutoka ndani, hakuweza kuingia ndani ya nyumba."
The doors were locked and we couldn't get in anyhow.,"Milango ilikuwa imefungwa hivyo, hatukupata njia yoyote ya kuingia ndani."
Television is a very important medium for giving information.,Runinga ni chombo muhimu sana kwa kupeana habari.
Debbie! Can you hear me?,Debbie! Unaweza kunisikiliza?
You can get all kinds of things to eat if you go to the free samples area in a department store.,Unaweza kupata kila aina ya vitu vya kula ikiwa unakwenda kwenye eneo la sampuli za bure katika duka la idara.
There is an advertising balloon flying above the department store.,Kuna baluni ya tangazo inayoruka juu ya duka la idara.
